title,total_score,reviews_count,street,city,state,country_code,website,phone,categories,url,category_name
Club Norte De Armstrong,4.6,133,Dr. J. Iraci 889,Armstrong,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Club%20Norte%20De%20Armstrong&query_place_id=ChIJPR0vsmHpyZURcB6GparAbmg,Gym
Cenk,4.8,32,España 1910,Casilda,Santa Fe Province,AR,,+54 3464 63-4068,Gym,https://www.google.com/maps/search/?api=1&query=Cenk&query_place_id=ChIJLzO-eDcttpURrvXuZEihdAM,Gym
Heavyweight Gym,5,3,Guido y Spano 1432,Villa Gobernador Gálvez,Santa Fe Province,AR,https://www.instagram.com/gym.heavyweight/,+54 9 341 334-7241,Fitness center,https://www.google.com/maps/search/?api=1&query=Heavyweight%20Gym&query_place_id=ChIJ5wyyovipt5URrGd5RkNi3KA,Fitness center
Gimnasio Genesis,4.5,244,Llerena 2651,Santa Fe,Santa Fe Province,AR,,+54 342 581-2950,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20Genesis&query_place_id=ChIJhRF-CeCptZURnCn-HcTIpqQ,Gym
El Portal Gym,5,4,"Los, Calle los Curupies 3006",Arroyo Leyes,Santa Fe Province,AR,,+54 342 503-5606,Gym,https://www.google.com/maps/search/?api=1&query=El%20Portal%20Gym&query_place_id=ChIJv9Ur9oH_tJURMBi-7pnoZ0c,Gym
Atenea Studio,4.7,144,Alberdi 5368,GBB,Santa Fe Province,AR,,+54 9 342 559-3539,Gym,https://www.google.com/maps/search/?api=1&query=Atenea%20Studio&query_place_id=ChIJ-VgZ---ptZURDtSeTTpVfF8,Gym
Brutal Gym,4.5,2,Mariano Comas 2662,Santa Fe,Santa Fe Province,AR,https://www.instagram.com/explore/locations/1123607161118021/cedes-evolucion?igsh=MXQ5eGNxNG9weDBhZA==,,Gym,https://www.google.com/maps/search/?api=1&query=Brutal%20Gym&query_place_id=ChIJ0TWUz8CptZUR2rnkOVdeVtI,Gym
365 Fitness,4.5,20,"S3004JBO, Cngo. Echagüe 6950",Santa Fe,Santa Fe Province,AR,,+54 9 342 520-6878,Gym,https://www.google.com/maps/search/?api=1&query=365%20Fitness&query_place_id=ChIJ-aK1GgGqtZURuVcM63UjX_4,Gym
Órbita Fitness,4.7,29,Ituzaingó 1357,Santa Fe,Santa Fe Province,AR,https://www.instagram.com/orbita.fitness/,+54 342 545-2936,Gym,https://www.google.com/maps/search/?api=1&query=%C3%93rbita%20Fitness&query_place_id=ChIJUw4eZzqptZURFIQEZjAjldM,Gym
Exodium Fit Center,4.9,44,25 de Mayo 3163,Santa Fe,Santa Fe Province,AR,https://www.instagram.com/exodium.fit/,+54 342 447-2144,Gym,https://www.google.com/maps/search/?api=1&query=Exodium%20Fit%20Center&query_place_id=ChIJh8Iw-vuptZURw2nhZhwHxqA,Gym
Apolo Gym,4.8,,,El Trébol,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Apolo%20Gym&query_place_id=ChIJbcp896RBypURGpHQ9qtGGLE,Gym
Sol y Manu Gym,5,,Belgrano 2397,San Carlos Centro,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Sol%20y%20Manu%20Gym&query_place_id=ChIJ7QkKugGdtZURIIcWvZ7XfwQ,Gym
LE CORPS GYM,4.8,,J.F.Seguí 721,El Trébol,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=LE%20CORPS%20GYM&query_place_id=ChIJ3erzMP0_ypURj3-aVX3pSbs,Gym
Bienestar Gimnasio,4.8,,Sta. Fe 1575,San Genaro,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Bienestar%20Gimnasio&query_place_id=ChIJ6RbEgQsBypURH7C3HI5vQ8o,Gym
Gimnasio De La Mutual De Socorros Mutuos,4.7,,,Coronda,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20De%20La%20Mutual%20De%20Socorros%20Mutuos&query_place_id=ChIJ_15WvKS_tZURPKbn6K1gSg4,Gym
Gimnasio Puente Del Sol,4.9,,9 de Julio,Coronda,Santa Fe Province,AR,,+54 3466 43-0163,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20Puente%20Del%20Sol&query_place_id=ChIJn3lGHKW_tZURrjjve0WmEzI,Gym
Gimnasio EnformaGym,4.9,,Melchor Martinez,Coronda,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20EnformaGym&query_place_id=ChIJRSIOeNq_tZURvevH9O1QqmI,Gym
Full Training,5,,Belgrano 39,San Carlos Centro,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Full%20Training&query_place_id=ChIJ4b0B6JydtZURLjuvlqbBd4o,Gym
Vital Gym,4.8,,Av. 25 de Mayo 834,Gálvez,Santa Fe Province,AR,,+54 3404 64-8590,Gym,https://www.google.com/maps/search/?api=1&query=Vital%20Gym&query_place_id=ChIJjYlnsmKMtZURfErOapDF6Yw,Gym
Gym SaDe,4.7,,Pres. Perón 623,Gálvez,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Gym%20SaDe&query_place_id=ChIJoY9P3Q-NtZURI2kv8tpZ1Bs,Gym
The One Gym,4.7,,Av. San Martín 775,Totoras,Santa Fe Province,AR,,+54 3476 53-5443,Gym,https://www.google.com/maps/search/?api=1&query=The%20One%20Gym&query_place_id=ChIJ6Wl62ecbtpURB3BNtP6Ialc,Gym
Fitness Club,,,Almte. Brown 1070,Carlos Pellegrini,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Fitness%20Club&query_place_id=ChIJSS6_DapDypURRHFiuLHndpM,Gym
Gimnasio Club Atlético Susanense,4.7,,Santiago del Estero,María Susana,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20Club%20Atl%C3%A9tico%20Susanense&query_place_id=ChIJeVUdA-03ypUR5vPCQYvaupk,Gym
Buona Vita Fitness Club,5,,Colón 259,El Trébol,Santa Fe Province,AR,,+54 3401 53-3089,Gym,https://www.google.com/maps/search/?api=1&query=Buona%20Vita%20Fitness%20Club&query_place_id=ChIJS2AvCWxBypURuBR2kLrMF9U,Gym
Gimnasio Alfa,4.7,,Lisandro de la Torre,San Martín de las Escobas,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20Alfa&query_place_id=ChIJ9cDuKltiypURvcG0wEQCotQ,Gym
Density Gym,5,,"Moreno y, Dorrego esquina",Gessler,Santa Fe Province,AR,https://instagram.com/density.gym?igshid=OGQ5ZDc2ODk2ZA==,+54 3404 53-5164,Gymnastics center,https://www.google.com/maps/search/?api=1&query=Density%20Gym&query_place_id=ChIJHXm8ZMCbtZURWjYUcP4ta7g,Gymnastics center
HERCULES GYM,4.7,26,Santiago 657,Capitán Bermúdez,Santa Fe Province,AR,https://instagram.com/_hercules_gym_?igshid=NmNmNjAwNzg=,,Gym,https://www.google.com/maps/search/?api=1&query=HERCULES%20GYM&query_place_id=ChIJ1cy3XwFRtpURrse6W5-wwAM,Gym
Heavyweight Gym,,,Garay 2235,Villa Gobernador Gálvez,Santa Fe Province,AR,https://www.instagram.com/gym.heavyweight/,+54 9 341 353-3572,Fitness center,https://www.google.com/maps/search/?api=1&query=Heavyweight%20Gym&query_place_id=ChIJJb63m9Gpt5URavkzG2b2IvY,Fitness center
Biogymgimnasio,4.9,80,José María Zuviría 1581,Santa Fe,Santa Fe Province,AR,,+54 342 612-5126,Gym,https://www.google.com/maps/search/?api=1&query=Biogymgimnasio&query_place_id=ChIJ8XrpVOWptZURR7XAlho2wzk,Gym
Atenas Centro de Entrenamiento,4.8,44,Av. Gral. Paz 6335,IKJ,Santa Fe Province,AR,https://instagram.com/atenas.entrenamiento?igshid=hvgiuqxeammh,+54 342 436-4254,Gym,https://www.google.com/maps/search/?api=1&query=Atenas%20Centro%20de%20Entrenamiento&query_place_id=ChIJuYDIg-2ptZURyeLoAP2_5i8,Gym
Gimnasio Corfu,4.4,357,Av. López y Planes 4438,Santa Fe,Santa Fe Province,AR,,+54 342 555-5030,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20Corfu&query_place_id=ChIJ077KpdGptZURHkaoy794z7w,Gym
SKILFUL Gimnasios (Sede Centro),4.5,170,9 de Julio 2742,Santa Fe,Santa Fe Province,AR,http://www.skilful.com.ar/,+54 342 472-6855,Gym,https://www.google.com/maps/search/?api=1&query=SKILFUL%20Gimnasios%20(Sede%20Centro)&query_place_id=ChIJc5vGX7qptZUREFiMT0KNUFY,Gym
Gym Kratos,5,1,Urquiza 2146,Franck,Santa Fe Province,AR,https://www.instagram.com/gym.kratos.franck/,+54 342 520-4086,Gym,https://www.google.com/maps/search/?api=1&query=Gym%20Kratos&query_place_id=ChIJc_URVqYMtZURKZR5prfRNzs,Gym
Gimnasio CIDEF,4.6,180,Hernandarias 1108,DUT,Santa Fe Province,AR,,+54 342 506-1144,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20CIDEF&query_place_id=ChIJ_xuii_6ptZURJFsOFw59oMI,Gym
Gimnasio Polux,4.9,48,Salvador del Carril 1487 P. Alt. S3004FPM,Santa Fe,Santa Fe Province,AR,https://www.instagram.com/gimnasiopoluxsf/,+54 342 580-0440,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20Polux&query_place_id=ChIJL_MSqHSptZUR2JbLkZQasa0,Gym
Humboldt Voley Club,4.5,38,,Humboldt,Santa Fe Province,AR,https://www.facebook.com/HumboldtVoley,+54 9 3496 50-5972,Gym,https://www.google.com/maps/search/?api=1&query=Humboldt%20Voley%20Club&query_place_id=ChIJYb07VrpptZUR9B6apnIo4Ac,Gym
GIMNASIO HARD,4.4,295,San Jerónimo 4050,Santa Fe,Santa Fe Province,AR,,+54 342 428-6542,Fitness center,https://www.google.com/maps/search/?api=1&query=GIMNASIO%20HARD&query_place_id=ChIJ4ycvRMGptZURgUdbJuLglgY,Fitness center
Hard Fit Gym,5,3,Av. Facundo Zuviría 6549,Santa Fe,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Hard%20Fit%20Gym&query_place_id=ChIJXS0HSgAHtZURnFyUIvsUl3g,Gym
Nitro Gym,,,Av. Bartolomé Mitre 1153,Recreo,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Nitro%20Gym&query_place_id=ChIJwVyhZQAFtZURlEaJlsKj4FI,Gym
Monkey Gym,,,De las Naciones 1590,Esperanza,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Monkey%20Gym&query_place_id=ChIJr9uEHwATtZURpjX3xWZ9UI0,Gym
Spa GYM CENTER,,,,Cayastá,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Spa%20GYM%20CENTER&query_place_id=ChIJv8CZSFmUtJURwdnHBsTDSXQ,Gym
Fortress Sede Av. Galicia,4.5,116,Av. Galicia 2121,Santa Fe,Santa Fe Province,AR,,+54 342 429-6554,Gym,https://www.google.com/maps/search/?api=1&query=Fortress%20Sede%20Av.%20Galicia&query_place_id=ChIJCa42OvgHtZURiovAtCSzF6s,Gym
Temple Gym HD,4.7,15,Maipú 1354,S3002AHO,Santa Fe Province,AR,,+54 342 553-6758,Gym,https://www.google.com/maps/search/?api=1&query=Temple%20Gym%20HD&query_place_id=ChIJHYiRX9qptZURhAikjLg9wMk,Gym
Paidotribes - Centro De Entrenamiento Integral,4.8,33,"3998,, Agustín Delgado 3950",Santa Fe,Santa Fe Province,AR,,+54 9 342 509-8317,Gymnastics center,https://www.google.com/maps/search/?api=1&query=Paidotribes%20-%20Centro%20De%20Entrenamiento%20Integral&query_place_id=ChIJj0QpIH4HtZURpUR9e6sCADA,Gymnastics center
Gimnasio Be Fit,4.9,48,Estanislao Zeballos 3059,Santa Fe,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20Be%20Fit&query_place_id=ChIJNagptGcHtZURHh7TKC0iAd0,Gym
Valkor Gym,,,Blvd. 27 de Febrero 1234,Rosario,Santa Fe Province,AR,,+54 341 323-2345,Gym,https://www.google.com/maps/search/?api=1&query=Valkor%20Gym&query_place_id=ChIJu8byZ36rt5URHkFNLrJyXbY,Gym
Outdoortraining1,5,,Rivadavia 45,Rufino,Santa Fe Province,AR,http://instagram.com/outdoortraining.1,+54 341 687-4397,Gym,https://www.google.com/maps/search/?api=1&query=Outdoortraining1&query_place_id=ChIJqy7UetUPxpURM7dWqRJJfhM,Gym
Gimnasio Bietti,4.7,,Santiago del Estero 150,Rufino,Santa Fe Province,AR,,+54 3382 67-3312,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20Bietti&query_place_id=ChIJhTWKjZoFxpURxR5zJ1BKIuk,Gym
RPE,5,,Chacabuco 360,Rufino,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=RPE&query_place_id=ChIJnf7-I-QPxpURkjQXhwNiFdQ,Gym
Espacio Saludable,4.4,,E. Bosch 902-1000,Diego de Alvear,Santa Fe Province,AR,,,Recreation center,https://www.google.com/maps/search/?api=1&query=Espacio%20Saludable&query_place_id=ChIJ1VT1UWNMxpURaOkgpVpELs4,Recreation center
"Gimnasio ""El Refugio""",,,Paraguay 558,San Eduardo,Santa Fe Province,AR,,+54 3462 63-6974,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20%22El%20Refugio%22&query_place_id=ChIJM5Vy8w-ByJURdrM_fhhV8E8,Gym
Motion Centro de Terapia Física,5,,Colón 256,Rufino,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Motion%20Centro%20de%20Terapia%20F%C3%ADsica&query_place_id=ChIJv2L9PAAPxpUR9Kxd9d-4KNY,Gym
Off Side,5,,Sta. Fe 1125,Rufino,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Off%20Side&query_place_id=ChIJkcIwIskPxpURnjx1IpFHiPc,Gym
PILATES REFORMER de LUCAS QUINTO,5,,Sarmiento 534,San Eduardo,Santa Fe Province,AR,,+54 3462 67-1163,Fitness center,https://www.google.com/maps/search/?api=1&query=PILATES%20REFORMER%20de%20LUCAS%20QUINTO&query_place_id=ChIJ0U5EFwCByJUR9obNQIp5-xo,Fitness center
Gimnasia,,,Blvd. Belgrano 326,Rufino,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasia&query_place_id=ChIJP_qGXt8PxpURhIzf1E89Xwk,Gym
Ethos gimnasio,,,Av. N. Mendiluce 602-700,Diego de Alvear,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Ethos%20gimnasio&query_place_id=ChIJ4fUGZQBNxpURsOM7_SfFT_c,Gym
Fighters gym Boxer Club,4.8,106,Gdor. Vera 3240,Santa Fe,Santa Fe Province,AR,,+54 342 547-3161,Gym,https://www.google.com/maps/search/?api=1&query=Fighters%20gym%20Boxer%20Club&query_place_id=ChIJk0k0lrSptZURV2CYJfCJP2I,Gym
Gimnasio Elite,4.6,53,Martín Zapata 1235,Santa Fe,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20Elite&query_place_id=ChIJRTANn_GptZURnydMG4LMTFA,Gym
Club Policial Villa California,4,119,,Santa Fe,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Club%20Policial%20Villa%20California&query_place_id=ChIJiYnROsuqtZURnALCm6pOcHw,Gym
Fénix,4.3,43,Berutti 1874,Esperanza,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=F%C3%A9nix&query_place_id=ChIJn-3tZz4TtZURw8ohR8fViO0,Gym
NEW FORCE Sala de Musculación,4.6,144,"Estanislao Zeballos 4523 Piso 1, BFA",Santa Fe,Santa Fe Province,AR,https://instagram.com/newforcemusculacion?utm_medium=copy_link,+54 342 481-6053,Gym,https://www.google.com/maps/search/?api=1&query=NEW%20FORCE%20Sala%20de%20Musculaci%C3%B3n&query_place_id=ChIJjeuFo3UHtZUR1IFZTqroQHs,Gym
Agoge Gimnasio,4.8,69,Salvador Caputto 3534,Santa Fe,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Agoge%20Gimnasio&query_place_id=ChIJSY73EcqptZURhA0GnZAz07Q,Gym
gym E. F. y S,4.4,12,Cardenal Fasolino 772,Santa Fe,Santa Fe Province,AR,https://www.facebook.com/gimnasio.efys,+54 342 419-0578,Gym,https://www.google.com/maps/search/?api=1&query=gym%20E.%20F.%20y%20S&query_place_id=ChIJLz3VlaoAtZUR-GhkUpP_Qcc,Gym
KAIROS GYM,5,7,Pje. Lisandro de la Torre 2150,Esperanza,Santa Fe Province,AR,,+54 3496 44-6591,Gymnastics center,https://www.google.com/maps/search/?api=1&query=KAIROS%20GYM&query_place_id=ChIJoV0f9GkTtZURghmRKw_5CnY,Gymnastics center
Gimnasio Norte,4.3,135,,Santa Fe,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20Norte&query_place_id=ChIJgeYaUlMGtZURa4O_frd25tE,Gym
THE EVOLUTION,4.7,27,Av. José Gorriti 4524,Santa Fe,Santa Fe Province,AR,,+54 342 446-8528,Gym,https://www.google.com/maps/search/?api=1&query=THE%20EVOLUTION&query_place_id=ChIJI4Bu-QUHtZUROKjbtbHtYbc,Gym
PUMMA Fit & Fight,4.6,18,Gorostiaga 2039 Planta Alta,Santa Fe,Santa Fe Province,AR,https://www.instagram.com/pumma.ff/,+54 342 511-4437,Gym,https://www.google.com/maps/search/?api=1&query=PUMMA%20Fit%20%26%20Fight&query_place_id=ChIJAdUkEhGptZURZzlQo731tfc,Gym
Kaiser Gym,4.5,8,Domingo Silva s/n°,Santa Rosa de Calchines,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Kaiser%20Gym&query_place_id=ChIJ3SCG4EvxtJURfDY1onTYasQ,Gym
Setubal fitness,4.9,58,"3468, S3000AKW, 25 de Mayo 3468",Santa Fe,Santa Fe Province,AR,https://setubalentrenamien.wixsite.com/website,+54 342 446-6965,Gym,https://www.google.com/maps/search/?api=1&query=Setubal%20fitness&query_place_id=ChIJqXFcqcmptZUR6AIBvsmPgJo,Gym
Aron.Gym,4.9,34,Blvd. Roque Sáenz Peña 2445,San Justo,Santa Fe Province,AR,,+54 3498 45-0462,Gym,https://www.google.com/maps/search/?api=1&query=Aron.Gym&query_place_id=ChIJL0_RcyfXSpQRFdrQo1zcFfg,Gym
Gimnasio SKILFUL BLACK,4.8,62,Irigoyen Freyre 2646,Santa Fe,Santa Fe Province,AR,https://instagram.com/skilfulblack,+54 342 472-6855,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20SKILFUL%20BLACK&query_place_id=ChIJI4v4stqptZURyA6bRAzmzQ0,Gym
Silvi Gym,4.9,13,Av. Galicia 1342,ABQ,Santa Fe Province,AR,https://www.facebook.com/silvigym.stafe/,+54 342 419-1342,Gym,https://www.google.com/maps/search/?api=1&query=Silvi%20Gym&query_place_id=ChIJNYhf_FUHtZURYn7CpBeNF6U,Gym
gimnasio Shape Body,4.1,41,Sarmiento 6201,Santa Fe,Santa Fe Province,AR,,+54 342 516-8562,Gym,https://www.google.com/maps/search/?api=1&query=gimnasio%20Shape%20Body&query_place_id=ChIJKymbzvyptZUR9gnkTO3u000,Gym
Gimnasio Amarillo,4.2,11,Cjón. Funes 2350,Santa Fe,Santa Fe Province,AR,,+54 342 501-2696,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20Amarillo&query_place_id=ChIJKQu6Fi4HtZURT9yT56EJeQ0,Gym
One Gym,4.7,16,Venezuela 458,Capitán Bermúdez,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=One%20Gym&query_place_id=ChIJb-N7YwNRtpURt5qgFnfgtAM,Gym
CAPFIT GYM,4.9,18,Regimiento 11 136,Rosario,Santa Fe Province,AR,https://www.instagram.com/capfit.gimnasio/profilecard/?igsh=MXV6YmZsMWthNXVrbA==,,Gym,https://www.google.com/maps/search/?api=1&query=CAPFIT%20GYM&query_place_id=ChIJtU7zSgCrt5URwKCO1V01vE8,Gym
Xtreme Brutal GYM,5,2,"El Ceibo, El Laurel &",La Carolina,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Xtreme%20Brutal%20GYM&query_place_id=ChIJZ0btGgCvt5URwj56O1HdjEc,Gym
Gimnasio Move,4.5,60,"S3000AIW, Balcarce 2008-2098",Santa Fe,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20Move&query_place_id=ChIJ20Hk5JWptZUR-vz728dXYVY,Gym
Gimnasio Cumbre,4.6,9,Suipacha 3309,Santa Fe,Santa Fe Province,AR,,+54 342 436-9760,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20Cumbre&query_place_id=ChIJlX2ioreptZURwOvgYPi8P6M,Gym
Master gym,5,3,,Grütly,Santa Fe Province,AR,,+54 3496 65-0000,Gym,https://www.google.com/maps/search/?api=1&query=Master%20gym&query_place_id=ChIJ_ccKP7tFtZURDOFk8S0vG0o,Gym
Gimnasio Máster Gym,5,1,Av. Blas Parera 6340,Santa Fe,Santa Fe Province,AR,https://www.instagram.com/gimnasio.mastergym?igsh=MXVwZGVsaDB2czFjdQ==,+54 342 502-9645,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20M%C3%A1ster%20Gym&query_place_id=ChIJUSIcHQAHtZUR2BRgQ-O_-Lg,Gym
▷ Gimnasio en Santa Fe | Rokus,5,11,Castelli 2337,Santa Fe,Santa Fe Province,AR,,+54 9 342 546-6513,Gym,https://www.google.com/maps/search/?api=1&query=%E2%96%B7%20Gimnasio%20en%20Santa%20Fe%20%7C%20Rokus&query_place_id=ChIJM6mAgI4HtZURjqUhlBRaaHI,Gym
Aero Gym,4.7,11,José Quintana 2813,CRL,Santa Fe Province,AR,https://www.instagram.com/aerogymsf/,+54 342 456-6698,Gym,https://www.google.com/maps/search/?api=1&query=Aero%20Gym&query_place_id=ChIJmxBy7NyptZURmXYxwYiUduQ,Gym
Bull Gym Gym,4.8,12,Ituzaingó 963,Santa Fe,Santa Fe Province,AR,,+54 342 508-5777,Gymnastics center,https://www.google.com/maps/search/?api=1&query=Bull%20Gym%20Gym&query_place_id=ChIJ9TEtV4WptZURVm61q_9JzyY,Gymnastics center
Gimnasio MUSASHI New!,4.8,112,4 de Enero 3331,Santa Fe,Santa Fe Province,AR,,+54 9 342 610-1300,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20MUSASHI%20New!&query_place_id=ChIJ0SjFBbiptZURoVp5l84ABKY,Gym
Comunidad Almafuerte,4.9,123,Av. Gral. Paz 4810,FUN,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Comunidad%20Almafuerte&query_place_id=ChIJ98klZ-6ptZURIQKDryeMFt0,Gym
Centro de entrenamiento. Comunidad LEW,4.8,33,Vergara y ruta 1,San José del Rincón,Santa Fe Province,AR,,+54 342 549-5273,Gym,https://www.google.com/maps/search/?api=1&query=Centro%20de%20entrenamiento.%20Comunidad%20LEW&query_place_id=ChIJ5aHst8pVtJUR7vfIvio02_Y,Gym
Davinci C.A.F,4.7,164,4 de Enero 5258,Santa Fe,Santa Fe Province,AR,https://www.facebook.com/davincicaf,+54 342 488-3862,Gym,https://www.google.com/maps/search/?api=1&query=Davinci%20C.A.F&query_place_id=ChIJ7XbhTNmptZURmIyFlW21Izg,Gym
gold's gym sta fe,4.9,21,Av. Facundo Zuviría 6996,Santa Fe,Santa Fe Province,AR,https://www.instagram.com/golds.santafe?igsh=MXEzY3l5NG95aWJ4dw==,+54 342 551-5575,Gym,https://www.google.com/maps/search/?api=1&query=gold's%20gym%20sta%20fe&query_place_id=ChIJv6xY6XEHtZUROXAoUfBGP90,Gym
VESTA GIMNASIO,4.8,21,4 de Enero 5666,Santa Fe,Santa Fe Province,AR,,+54 342 581-0471,Gymnastics center,https://www.google.com/maps/search/?api=1&query=VESTA%20GIMNASIO&query_place_id=ChIJFZWoON-ptZUR1QvdFu3pYJA,Gymnastics center
Tractor Guadalupe,4.7,136,Av. Gral. Paz 6460,Santa Fe,Santa Fe Province,AR,https://www.instagram.com/tractor.fitness?igsh=azUyeHBhbHBuajV1,+54 342 513-2241,Gym,https://www.google.com/maps/search/?api=1&query=Tractor%20Guadalupe&query_place_id=ChIJa3ZlWeYBtZUR9ZPlh9W2ru0,Gym
Gimnasio CIAN,4.8,35,José Quintana 3507 Oeste,Santa Fe,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20CIAN&query_place_id=ChIJq-n7R9eptZURNQKoNJqBu2o,Gym
Gym Club Union,,,,Santa Fe,Santa Fe Province,AR,http://www.clubaunion.com.ar/,,Gymnasium school,https://www.google.com/maps/search/?api=1&query=Gym%20Club%20Union&query_place_id=ChIJlVAusc6ptZURuqwjbT-q5Fc,Gymnasium school
Mora Mia,4.6,14,"5298,, Dorrego 5200",Santa Fe,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Mora%20Mia&query_place_id=ChIJhVgHQPGptZURunxwB-BQa0s,Gym
Gimnasio Fortia,4.6,52,Pedro de Vega 843,Santa Fe,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20Fortia&query_place_id=ChIJ2UiiX_iptZUR86xOhMX0o1w,Gym
VENENO Gym,4,1,Av. Ntra Sra del Rosario 2128,Rosario,Santa Fe Province,AR,http://www.instagram.com/venenogym_,+54 341 746-1974,Gym,https://www.google.com/maps/search/?api=1&query=VENENO%20Gym&query_place_id=ChIJu2eco4-rt5UR3H15S-OLiC4,Gym
TERRA GYM,5,2,Av. San Martín 2464,Villa Gobernador Gálvez,Santa Fe Province,AR,,+54 341 369-6771,Gymnastics center,https://www.google.com/maps/search/?api=1&query=TERRA%20GYM&query_place_id=ChIJQysAm_Gpt5URtfcZr9-xLg4,Gymnastics center
Maxy Gym,5,3,San Luis 1944,Fray Luis Beltrán,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Maxy%20Gym&query_place_id=ChIJx_-_zpZbtpURt0mjuMKwEok,Gym
Mattos Gym,4.7,6,Mattos 3321,Rosario,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Mattos%20Gym&query_place_id=ChIJUU9vWgCrt5URlcMb4WxFi0Q,Gym
Gym LION KING,5,5,Arijon 2756A,Rosario,Santa Fe Province,AR,,+54 341 680-5198,Gym,https://www.google.com/maps/search/?api=1&query=Gym%20LION%20KING&query_place_id=ChIJ4VrxcCKrt5URRBz7hdyGoKE,Gym
Baila conmigo gym dancr,4.6,17,Ocampo 1394,Cañada de Gómez,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Baila%20conmigo%20gym%20dancr&query_place_id=ChIJU1kYZWbeyZURqGgsWGOF8co,Gym
Gimnasio Alonso,4.6,49,Diag. Goyena 3333 Oeste,Santa Fe,Santa Fe Province,AR,,+54 9 342 467-1459,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20Alonso&query_place_id=ChIJJfD1ZdiptZURaX6JkhVoyGs,Gym
Deer gym,,,Antonio Noseda 978,Videla,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Deer%20gym&query_place_id=ChIJMadsU5ortZURP8RPUbAE9jA,Gym
